Ni,Ti,Al,FCC
19.0,1.0,2.0,24.166814925622415
20.0,1.0,2.0,25.78837635932433
15.0,2.0,2.0,11.792751891096179
16.0,2.0,2.0,13.389808594752973
17.0,2.0,2.0,14.990417010216397
18.0,2.0,2.0,16.59477543921568
19.0,2.0,2.0,18.202151163319304
20.0,2.0,2.0,19.81286736774761
15.0,3.0,2.0,5.9473495963444725
16.0,3.0,2.0,7.525189146596821
17.0,3.0,2.0,9.108079480340484
18.0,3.0,2.0,10.695842004176583
19.0,3.0,2.0,12.287923356434472
20.0,3.0,2.0,13.88429210427146
15.0,4.0,2.0,0.20045768765376584
16.0,4.0,2.0,1.7510477603323602
17.0,4.0,2.0,3.308693286195852
18.0,4.0,2.0,4.872982671324638
19.0,4.0,2.0,6.443256181370055
20.0,4.0,2.0,8.019511305616337
15.0,5.0,2.0,0.0
16.0,5.0,2.0,0.0
17.0,5.0,2.0,0.0
18.0,5.0,2.0,0.0
19.0,5.0,2.0,0.704218403091851
20.0,5.0,2.0,2.250573054127359
15.0,6.0,2.0,0.0
16.0,6.0,2.0,0.0
17.0,6.0,2.0,0.0
18.0,6.0,2.0,0.0
19.0,6.0,2.0,0.0
20.0,6.0,2.0,0.0
15.0,7.0,2.0,0.0
16.0,7.0,2.0,0.0
17.0,7.0,2.0,0.0
18.0,7.0,2.0,0.0
19.0,7.0,2.0,0.0
20.0,7.0,2.0,0.0
15.0,8.0,2.0,0.0
16.0,8.0,2.0,0.0
17.0,8.0,2.0,0.0
18.0,8.0,2.0,0.0
19.0,8.0,2.0,0.0
20.0,8.0,2.0,0.0
15.0,9.0,2.0,0.0
16.0,9.0,2.0,0.0
17.0,9.0,2.0,0.0
18.0,9.0,2.0,0.0
19.0,9.0,2.0,0.0
20.0,9.0,2.0,0.0
15.0,10.0,2.0,0.0
16.0,10.0,2.0,0.0
17.0,10.0,2.0,0.0
18.0,10.0,2.0,0.0
19.0,10.0,2.0,0.0
20.0,10.0,2.0,0.0
15.0,11.0,2.0,0.0
16.0,11.0,2.0,0.0
17.0,11.0,2.0,0.0
18.0,11.0,2.0,0.0
19.0,11.0,2.0,0.0
20.0,11.0,2.0,0.0
15.0,12.0,2.0,0.0
16.0,12.0,2.0,0.0
17.0,12.0,2.0,0.0
18.0,12.0,2.0,0.0
19.0,12.0,2.0,0.0
20.0,12.0,2.0,0.0
15.0,13.0,2.0,0.0
16.0,13.0,2.0,0.0
17.0,13.0,2.0,0.0
18.0,13.0,2.0,0.0
19.0,13.0,2.0,0.0
20.0,13.0,2.0,0.0
15.0,14.0,2.0,0.0
16.0,14.0,2.0,0.0
17.0,14.0,2.0,0.0
18.0,14.0,2.0,0.0
19.0,14.0,2.0,0.0
20.0,14.0,2.0,0.0
15.0,15.0,2.0,0.0
16.0,15.0,2.0,0.0
17.0,15.0,2.0,0.0
18.0,15.0,2.0,0.0
19.0,15.0,2.0,0.0
20.0,15.0,2.0,0.0
15.0,1.0,3.0,17.199484612825493
16.0,1.0,3.0,18.781438654894053
17.0,1.0,3.0,20.366490319903193
18.0,1.0,3.0,21.95738838679363
19.0,1.0,3.0,23.550412228529076
20.0,1.0,3.0,25.147429879122168
15.0,2.0,3.0,11.381741126741375
16.0,2.0,3.0,12.942717869544177
17.0,2.0,3.0,14.509029978535523
18.0,2.0,3.0,16.08066992067213
19.0,2.0,3.0,17.65723021966108
20.0,2.0,3.0,19.23744487647371
15.0,3.0,3.0,5.666984449537985
16.0,3.0,3.0,7.1974402547949135
17.0,3.0,3.0,8.736021812420553
18.0,3.0,3.0,10.282010440739137
19.0,3.0,3.0,11.834992573451055
20.0,3.0,3.0,13.394238534743009
15.0,4.0,3.0,0.10942071278702088
16.0,4.0,3.0,1.6055819036735777
17.0,4.0,3.0,3.097984437190575
18.0,4.0,3.0,4.603384803794993
19.0,4.0,3.0,6.120090037109889
20.0,4.0,3.0,7.646595995201761
15.0,5.0,3.0,0.0
16.0,5.0,3.0,0.0
17.0,5.0,3.0,0.0
18.0,5.0,3.0,0.0
19.0,5.0,3.0,0.5205809796738361
20.0,5.0,3.0,1.7454256194838895
15.0,6.0,3.0,0.0
16.0,6.0,3.0,0.0
17.0,6.0,3.0,0.0
18.0,6.0,3.0,0.0
19.0,6.0,3.0,0.0
20.0,6.0,3.0,0.0
15.0,7.0,3.0,0.0
16.0,7.0,3.0,0.0
17.0,7.0,3.0,0.0
18.0,7.0,3.0,0.0
19.0,7.0,3.0,0.0
20.0,7.0,3.0,0.0
15.0,8.0,3.0,0.0
16.0,8.0,3.0,0.0
17.0,8.0,3.0,0.0
18.0,8.0,3.0,0.0
19.0,8.0,3.0,0.0
20.0,8.0,3.0,0.0
15.0,9.0,3.0,0.0
16.0,9.0,3.0,0.0
17.0,9.0,3.0,0.0
18.0,9.0,3.0,0.0
19.0,9.0,3.0,0.0
20.0,9.0,3.0,0.0
15.0,10.0,3.0,0.0
16.0,10.0,3.0,0.0
17.0,10.0,3.0,0.0
18.0,10.0,3.0,0.0
19.0,10.0,3.0,0.0
20.0,10.0,3.0,0.0
15.0,11.0,3.0,0.0
16.0,11.0,3.0,0.0
17.0,11.0,3.0,0.0
18.0,11.0,3.0,0.0
19.0,11.0,3.0,0.0
20.0,11.0,3.0,0.0
15.0,12.0,3.0,0.0
16.0,12.0,3.0,0.0
17.0,12.0,3.0,0.0
18.0,12.0,3.0,0.0
19.0,12.0,3.0,0.0
20.0,12.0,3.0,0.0
15.0,13.0,3.0,0.0
16.0,13.0,3.0,0.0
17.0,13.0,3.0,0.0
18.0,13.0,3.0,0.0
19.0,13.0,3.0,0.0
20.0,13.0,3.0,0.0
15.0,14.0,3.0,0.0
16.0,14.0,3.0,0.0
17.0,14.0,3.0,0.0
18.0,14.0,3.0,0.0
19.0,14.0,3.0,0.0
20.0,14.0,3.0,0.0
15.0,15.0,3.0,0.0
16.0,15.0,3.0,0.0
17.0,15.0,3.0,0.0
18.0,15.0,3.0,0.0
19.0,15.0,3.0,0.0
20.0,15.0,3.0,0.0
15.0,1.0,4.0,16.554120561764783
16.0,1.0,4.0,18.106468014486808
17.0,1.0,4.0,19.664198282212233
18.0,1.0,4.0,21.22770543823175
19.0,1.0,4.0,22.79531303005081
20.0,1.0,4.0,24.36882302586964
15.0,2.0,4.0,6.534246804679464
16.0,2.0,4.0,11.26221101678213
17.0,2.0,4.0,13.852458254736705
18.0,2.0,4.0,15.39298876538073
19.0,2.0,4.0,16.9398501266274
20.0,2.0,4.0,18.49290790013344
15.0,3.0,4.0,4.639637205783989
16.0,3.0,4.0,5.8559741365022075
17.0,3.0,4.0,7.0698628505055625
18.0,3.0,4.0,8.284865872581742
19.0,3.0,4.0,1.1023850481193918
20.0,3.0,4.0,5.830371615090636
15.0,4.0,4.0,0.11201846726893053
16.0,4.0,4.0,1.3779853613770152
17.0,4.0,4.0,2.6258238326512733
18.0,4.0,4.0,3.859191412837882
19.0,4.0,4.0,5.081165656170546
20.0,4.0,4.0,6.295299889222979
15.0,5.0,4.0,0.0
16.0,5.0,4.0,0.0
17.0,5.0,4.0,0.0
18.0,5.0,4.0,0.0
19.0,5.0,4.0,0.5448809437190185
20.0,5.0,4.0,1.8226894940299148
15.0,6.0,4.0,0.0
