Ni,Ti,Al,Ni3Ti
20.0,4.0,1.0,18.709109346074317
15.0,5.0,1.0,18.781375513376318
16.0,5.0,1.0,20.14131332299981
17.0,5.0,1.0,21.501795436117227
18.0,5.0,1.0,22.86093668875514
19.0,5.0,1.0,23.38696991011549
20.0,5.0,1.0,23.38661288107166
15.0,6.0,1.0,18.458400550195346
16.0,6.0,1.0,19.818950522453438
17.0,6.0,1.0,21.17823656101116
18.0,6.0,1.0,22.537998216964926
19.0,6.0,1.0,23.898227419842684
20.0,6.0,1.0,25.257197269355192
15.0,7.0,1.0,18.136080585414796
16.0,7.0,1.0,19.49545451242288
17.0,7.0,1.0,20.855312974964548
18.0,7.0,1.0,22.215688196282137
19.0,7.0,1.0,23.574722527602106
20.0,7.0,1.0,24.934268980398556
15.0,8.0,1.0,17.813000092850004
16.0,8.0,1.0,19.172573175502926
17.0,8.0,1.0,20.533033101308302
18.0,8.0,1.0,21.89215721921245
19.0,8.0,1.0,23.251841649070908
20.0,8.0,1.0,24.61200359617498
15.0,9.0,1.0,17.4896421433469
16.0,9.0,1.0,18.8485282618562
17.0,9.0,1.0,20.209583565616924
18.0,9.0,1.0,21.569305848932917
19.0,9.0,1.0,22.92777305563493
20.0,9.0,1.0,24.288544488368753
15.0,10.0,1.0,17.165892514991388
16.0,10.0,1.0,18.525178871035763
17.0,10.0,1.0,19.884963923489334
18.0,10.0,1.0,21.245317019964908
19.0,10.0,1.0,22.604339289327886
20.0,10.0,1.0,23.96389107554156
15.0,11.0,1.0,16.84169121279204
16.0,11.0,1.0,18.20155106802792
17.0,11.0,1.0,19.561001555448733
18.0,11.0,1.0,20.920112246240187
19.0,11.0,1.0,22.279722731489258
20.0,11.0,1.0,23.639824855034504
15.0,12.0,1.0,16.517103688650014
16.0,12.0,1.0,17.87680027254794
17.0,12.0,1.0,19.235909472042298
18.0,12.0,1.0,20.595560288905116
19.0,12.0,1.0,21.955751953410786
20.0,12.0,1.0,23.316441070867064
15.0,13.0,1.0,16.19173480906363
16.0,13.0,1.0,17.551410545009567
17.0,13.0,1.0,18.911450110116608
18.0,13.0,1.0,20.271669700085596
19.0,13.0,1.0,21.6306034474862
20.0,13.0,1.0,22.99004222623447
15.0,14.0,1.0,15.865402292933675
16.0,14.0,1.0,17.22508172712054
17.0,14.0,1.0,18.584028535428672
18.0,14.0,1.0,19.944813962838463
19.0,14.0,1.0,21.30427681980912
20.0,14.0,1.0,22.664328763907278
15.0,15.0,1.0,15.538106847962997
16.0,15.0,1.0,16.897597679401002
17.0,15.0,1.0,18.25727973154955
18.0,15.0,1.0,19.616748893477816
19.0,15.0,1.0,20.97681026766432
20.0,15.0,1.0,22.33555133429108
15.0,1.0,2.0,4.677265922984719
16.0,1.0,2.0,4.677401467869227
17.0,1.0,2.0,4.677346668798791
18.0,1.0,2.0,4.67729192208146
19.0,1.0,2.0,4.677237227642247
20.0,1.0,2.0,4.677364040348321
