Ni,Ti,Al,T_Ni3Ti
19.0,3.0,2.0,884.15
20.0,3.0,2.0,884.15
15.0,4.0,2.0,881.15
16.0,4.0,2.0,882.15
17.0,4.0,2.0,882.15
18.0,4.0,2.0,883.15
19.0,4.0,2.0,883.15
20.0,4.0,2.0,884.15
15.0,5.0,2.0,880.15
16.0,5.0,2.0,880.15
17.0,5.0,2.0,881.15
18.0,5.0,2.0,882.15
19.0,5.0,2.0,882.15
20.0,5.0,2.0,883.15
15.0,6.0,2.0,878.15
16.0,6.0,2.0,879.15
17.0,6.0,2.0,880.15
18.0,6.0,2.0,880.15
19.0,6.0,2.0,881.15
20.0,6.0,2.0,881.15
15.0,7.0,2.0,877.15
16.0,7.0,2.0,878.15
17.0,7.0,2.0,878.15
18.0,7.0,2.0,879.15
19.0,7.0,2.0,880.15
20.0,7.0,2.0,880.15
15.0,8.0,2.0,875.15
16.0,8.0,2.0,876.15
17.0,8.0,2.0,877.15
18.0,8.0,2.0,877.15
19.0,8.0,2.0,878.15
20.0,8.0,2.0,879.15
15.0,9.0,2.0,873.15
16.0,9.0,2.0,874.15
17.0,9.0,2.0,875.15
18.0,9.0,2.0,876.15
19.0,9.0,2.0,877.15
20.0,9.0,2.0,877.15
15.0,10.0,2.0,870.15
16.0,10.0,2.0,871.15
17.0,10.0,2.0,872.15
18.0,10.0,2.0,874.15
19.0,10.0,2.0,875.15
20.0,10.0,2.0,876.15
15.0,11.0,2.0,867.15
16.0,11.0,2.0,868.15
17.0,11.0,2.0,870.15
18.0,11.0,2.0,871.15
19.0,11.0,2.0,872.15
20.0,11.0,2.0,873.15
15.0,12.0,2.0,863.15
16.0,12.0,2.0,865.15
17.0,12.0,2.0,867.15
18.0,12.0,2.0,868.15
19.0,12.0,2.0,870.15
20.0,12.0,2.0,871.15
15.0,13.0,2.0,859.15
16.0,13.0,2.0,861.15
17.0,13.0,2.0,863.15
18.0,13.0,2.0,865.15
19.0,13.0,2.0,867.15
20.0,13.0,2.0,868.15
15.0,14.0,2.0,854.15
16.0,14.0,2.0,857.15
17.0,14.0,2.0,859.15
18.0,14.0,2.0,861.15
19.0,14.0,2.0,863.15
20.0,14.0,2.0,865.15
15.0,15.0,2.0,848.15
16.0,15.0,2.0,851.15
17.0,15.0,2.0,854.15
18.0,15.0,2.0,857.15
19.0,15.0,2.0,859.15
20.0,15.0,2.0,861.15
15.0,1.0,3.0,867.15
16.0,1.0,3.0,864.15
17.0,1.0,3.0,862.15
18.0,1.0,3.0,859.15
19.0,1.0,3.0,856.15
20.0,1.0,3.0,854.15
15.0,2.0,3.0,866.15
16.0,2.0,3.0,867.15
17.0,2.0,3.0,868.15
18.0,2.0,3.0,869.15
19.0,2.0,3.0,870.15
20.0,2.0,3.0,871.15
15.0,3.0,3.0,863.15
16.0,3.0,3.0,864.15
17.0,3.0,3.0,865.15
18.0,3.0,3.0,1217.15
19.0,3.0,3.0,1201.15
20.0,3.0,3.0,869.15
