Ni,Ti,Al,Ni3Ti,Laves,FCC,T_Ni3Ti
16.0,1.0,1.0,4.677401076079272,0.0,19.796476748808704,893.606
17.0,1.0,1.0,4.677304805142266,0.0,21.437497190632445,893.6545
18.0,1.0,1.0,4.677388339865899,0.0,23.08232828879148,893.7002
19.0,1.0,1.0,4.677283766112461,0.0,24.727327594878503,893.15
20.0,1.0,1.0,4.67735883270704,0.0,26.37432874730018,891.15
15.0,2.0,1.0,9.35462936256129,0.0,12.144865878280935,893.15
16.0,2.0,1.0,9.354633531956605,0.0,13.775637987916834,893.15
17.0,2.0,1.0,9.354620849879785,0.0,15.408956245328723,893.202
18.0,2.0,1.0,9.354625019351168,0.0,17.044689499245756,893.2721
19.0,2.0,1.0,9.354612353586788,0.0,18.683315640799584,893.3376
20.0,2.0,1.0,9.35459970003129,0.0,20.32341949940474,893.3989
15.0,3.0,1.0,14.032014878883361,0.0,6.174014319119546,893.15
16.0,3.0,1.0,14.031956193339843,0.0,7.7928640914251055,893.15
17.0,3.0,1.0,14.031872251225789,0.0,9.4150139445609,893.15
18.0,3.0,1.0,14.031993999322037,0.0,11.040309842698575,893.15
19.0,3.0,1.0,14.031910119649432,0.0,12.668530162866684,893.15
20.0,3.0,1.0,14.032006456052368,0.0,14.299507509844398,893.15
15.0,4.0,1.0,18.708864102095703,0.0,0.2608823045327035,892.15
16.0,4.0,1.0,18.708940302770635,0.0,1.8634820431052246,892.15
17.0,4.0,1.0,18.709016430469998,0.0,3.470582176743648,892.15
18.0,4.0,1.0,18.709058695404824,0.0,5.081553001775365,892.15
19.0,4.0,1.0,18.7091009197498,0.0,6.6965728263126065,893.15
20.0,4.0,1.0,18.709109346074317,0.0,8.315259949983943,893.15
15.0,5.0,1.0,18.781375513376318,3.292130373580345,0.0,892.15
16.0,5.0,1.0,20.14131332299981,2.319972186409004,0.0,892.15
17.0,5.0,1.0,21.501795436117227,1.347844028726978,0.0,892.15
18.0,5.0,1.0,22.86093668875514,0.3757030411902087,0.0,892.15
19.0,5.0,1.0,23.38696991011549,0.0,0.7851107418410503,892.15
20.0,5.0,1.0,23.38661288107166,0.0,2.3865550470985415,892.15
15.0,6.0,1.0,18.458400550195346,6.867098427261525,0.0,892.15
16.0,6.0,1.0,19.818950522453438,5.894899889542045,0.0,892.15
17.0,6.0,1.0,21.17823656101116,4.922734425421135,0.0,892.15
18.0,6.0,1.0,22.537998216964926,3.950763588394326,0.0,892.15
19.0,6.0,1.0,23.898227419842684,2.978449033113399,0.0,892.15
20.0,6.0,1.0,25.257197269355192,2.006346884577577,0.0,892.15
15.0,7.0,1.0,18.136080585414796,10.442332789263032,0.0,891.15
16.0,7.0,1.0,19.49545451242288,9.470129133995595,0.0,891.15
17.0,7.0,1.0,20.855312974964548,8.497927179820557,0.0,892.15
18.0,7.0,1.0,22.215688196282137,7.525745877211132,0.0,892.15
19.0,7.0,1.0,23.574722527602106,6.553573307500009,0.0,892.15
20.0,7.0,1.0,24.934268980398556,5.581424867178009,0.0,892.15
15.0,8.0,1.0,17.813000092850004,14.017619653614869,0.0,891.15
16.0,8.0,1.0,19.172573175502926,13.045392923107718,0.0,891.15
17.0,8.0,1.0,20.533033101308302,12.073183374954755,0.0,891.15
18.0,8.0,1.0,21.89215721921245,11.101152601534379,0.0,891.15
19.0,8.0,1.0,23.251841649070908,10.128979034092769,0.0,891.15
20.0,8.0,1.0,24.61200359617498,9.156805942769962,0.0,894.15
15.0,9.0,1.0,17.4896421433469,17.593220709877894,0.0,890.15
16.0,9.0,1.0,18.8485282618562,16.62100806179678,0.0,891.15
17.0,9.0,1.0,20.209583565616924,15.648809068351499,0.0,891.15
18.0,9.0,1.0,21.569305848932917,14.676596984485396,0.0,891.15
19.0,9.0,1.0,22.92777305563493,13.704427024085353,0.0,891.15
20.0,9.0,1.0,24.288544488368753,12.732247495374608,0.0,896.15
15.0,10.0,1.0,17.165892514991388,21.169684427404786,0.0,890.15
16.0,10.0,1.0,18.525178871035763,20.197502104096646,0.0,890.15
17.0,10.0,1.0,19.884963923489334,19.22438239276499,0.0,890.15
18.0,10.0,1.0,21.245317019964908,18.25222247757459,0.0,890.15
19.0,10.0,1.0,22.604339289327886,17.28022343639191,0.0,891.15
20.0,10.0,1.0,23.96389107554156,16.30805562844398,0.0,898.15
15.0,11.0,1.0,16.84169121279204,24.74432389908341,0.0,889.15
