Ni,Ti,Al,Laves
20.0,10.0,1.0,16.30805562844398
15.0,11.0,1.0,24.74432389908341
16.0,11.0,1.0,23.772558786794892
17.0,11.0,1.0,22.799844272347922
18.0,11.0,1.0,21.828093713918243
19.0,11.0,1.0,20.85722424711666
20.0,11.0,1.0,19.883589559199034
15.0,12.0,1.0,28.32137012759735
16.0,12.0,1.0,27.350039105500596
17.0,12.0,1.0,26.377746613989284
18.0,12.0,1.0,25.404545845479316
19.0,12.0,1.0,24.43226712709608
20.0,12.0,1.0,23.46086625861981
15.0,13.0,1.0,31.898901461964158
16.0,13.0,1.0,30.926132829914522
17.0,13.0,1.0,29.9542846454722
18.0,13.0,1.0,28.981522721315862
19.0,13.0,1.0,28.009680368308338
20.0,13.0,1.0,27.036875624878686
15.0,14.0,1.0,35.47686107822302
16.0,14.0,1.0,34.50455632142509
17.0,14.0,1.0,33.53133276762066
18.0,14.0,1.0,32.55902758016754
19.0,14.0,1.0,31.587581496657556
20.0,14.0,1.0,30.615276825049797
15.0,15.0,1.0,39.05519176800748
16.0,15.0,1.0,38.08337075839118
17.0,15.0,1.0,37.11062542773252
18.0,15.0,1.0,36.138729471645995
19.0,15.0,1.0,35.16597834497691
20.0,15.0,1.0,34.19407937038657
15.0,1.0,2.0,0.0
16.0,1.0,2.0,0.0
17.0,1.0,2.0,0.0
18.0,1.0,2.0,0.0
19.0,1.0,2.0,0.0
20.0,1.0,2.0,0.0
15.0,2.0,2.0,0.0
16.0,2.0,2.0,0.0
17.0,2.0,2.0,0.0
18.0,2.0,2.0,0.0
19.0,2.0,2.0,0.0
20.0,2.0,2.0,0.0
15.0,3.0,2.0,0.0
16.0,3.0,2.0,0.0
17.0,3.0,2.0,0.0
18.0,3.0,2.0,0.0
19.0,3.0,2.0,0.0
20.0,3.0,2.0,0.0
15.0,4.0,2.0,0.0
16.0,4.0,2.0,0.0
17.0,4.0,2.0,0.0
18.0,4.0,2.0,0.0
19.0,4.0,2.0,0.0
20.0,4.0,2.0,0.0
15.0,5.0,2.0,3.2943494053547364
16.0,5.0,2.0,2.321640648017172
17.0,5.0,2.0,1.349048700811741
18.0,5.0,2.0,0.3763722954011536
19.0,5.0,2.0,0.0
20.0,5.0,2.0,0.0
15.0,6.0,2.0,6.871549050925968
16.0,6.0,2.0,5.898870740992598
17.0,6.0,2.0,4.92619591563049
18.0,6.0,2.0,3.953524569900841
19.0,6.0,2.0,2.980851242967014
20.0,6.0,2.0,2.0080020050748884
15.0,7.0,2.0,10.44934574495441
16.0,7.0,2.0,9.476714406096647
17.0,7.0,2.0,8.503883835427404
18.0,7.0,2.0,7.531254126865343
19.0,7.0,2.0,6.558428939658933
20.0,7.0,2.0,5.585607376622615
15.0,8.0,2.0,14.027677102918936
16.0,8.0,2.0,13.054903266024409
17.0,8.0,2.0,12.082151646764093
18.0,8.0,2.0,11.109376033391877
19.0,8.0,2.0,10.136600432258929
20.0,8.0,2.0,9.163808024021776
15.0,9.0,2.0,17.606854931588888
16.0,9.0,2.0,16.633973746203477
17.0,9.0,2.0,15.66127318952773
18.0,9.0,2.0,14.68838498241766
19.0,9.0,2.0,13.715677240531985
20.0,9.0,2.0,12.742758605475442
15.0,10.0,2.0,21.18682389594665
16.0,10.0,2.0,20.213853232334788
17.0,10.0,2.0,19.24179757297039
18.0,10.0,2.0,18.268443907078243
19.0,10.0,2.0,17.295604436092997
20.0,10.0,2.0,16.322791511301386
15.0,11.0,2.0,24.768637484609727
16.0,11.0,2.0,23.79430134151299
17.0,11.0,2.0,22.822726315672824
18.0,11.0,2.0,21.850176023511647
19.0,11.0,2.0,20.8767342691021
20.0,11.0,2.0,19.904167850121173
15.0,12.0,2.0,28.350763624513014
16.0,12.0,2.0,27.37692690664046
17.0,12.0,2.0,26.404001761130086
18.0,12.0,2.0,25.4319398834354
19.0,12.0,2.0,24.458942465854697
20.0,12.0,2.0,23.48685814780058
15.0,13.0,2.0,31.93505790188209
16.0,13.0,2.0,30.961738098769096
17.0,13.0,2.0,29.989271678528347
18.0,13.0,2.0,29.01586454941791
19.0,13.0,2.0,28.04336920283081
20.0,13.0,2.0,27.069934055198242
15.0,14.0,2.0,35.5214248694557
16.0,14.0,2.0,34.5485772640765
17.0,14.0,2.0,33.57484605419932
18.0,14.0,2.0,32.60196112621921
19.0,14.0,2.0,31.629926705492544
20.0,14.0,2.0,30.65700735568022
15.0,15.0,2.0,39.10981447956224
16.0,15.0,2.0,38.13751599369179
17.0,15.0,2.0,37.16426594394038
18.0,15.0,2.0,36.19192365861906
19.0,15.0,2.0,35.21863073737383
20.0,15.0,2.0,34.24618120460279
15.0,1.0,3.0,0.0
16.0,1.0,3.0,0.0
17.0,1.0,3.0,0.0
18.0,1.0,3.0,0.0
19.0,1.0,3.0,0.0
20.0,1.0,3.0,0.0
15.0,2.0,3.0,0.0
16.0,2.0,3.0,0.0
17.0,2.0,3.0,0.0
18.0,2.0,3.0,0.0
19.0,2.0,3.0,0.0
20.0,2.0,3.0,0.0
15.0,3.0,3.0,0.0
16.0,3.0,3.0,0.0
17.0,3.0,3.0,0.0
18.0,3.0,3.0,0.0
19.0,3.0,3.0,0.0
20.0,3.0,3.0,0.0
15.0,4.0,3.0,0.0
16.0,4.0,3.0,0.0
17.0,4.0,3.0,0.0
18.0,4.0,3.0,0.0
19.0,4.0,3.0,0.0
20.0,4.0,3.0,0.0
15.0,5.0,3.0,3.2979250839882193
16.0,5.0,3.0,2.324493441270992
